Unit Name,Previous Reading,Current Reading,Discount Amount (if applicable),Additional Description (optional),Discount Description (optional)
A-101,188290,201170,,"Rate: Rs.0.0254/unit | Prev: 188,290 | Curr: 201,170 | Consumption: 12,880 units",
A-102,259080,274330,,"Rate: Rs.0.0254/unit | Prev: 259,080 | Curr: 274,330 | Consumption: 15,250 units",
A-103,602190,628710,,"Rate: Rs.0.0254/unit | Prev: 602,190 | Curr: 628,710 | Consumption: 26,520 units",
A-104,162030,166310,,"Rate: Rs.0.0254/unit | Prev: 162,030 | Curr: 166,310 | Consumption: 4,280 units",
A-105,471670,489230,,"Rate: Rs.0.0254/unit | Prev: 471,670 | Curr: 489,230 | Consumption: 17,560 units",
A-106,271130,282860,,"Rate: Rs.0.0254/unit | Prev: 271,130 | Curr: 282,860 | Consumption: 11,730 units",
A-107,410400,422200,,"Rate: Rs.0.0254/unit | Prev: 410,400 | Curr: 422,200 | Consumption: 11,800 units",
A-201,84450,88430,,"Rate: Rs.0.0254/unit | Prev: 84,450 | Curr: 88,430 | Consumption: 3,980 units",
A-202,161260,168400,,"Rate: Rs.0.0254/unit | Prev: 161,260 | Curr: 168,400 | Consumption: 7,140 units",
A-203,72710,72710,,"Rate: Rs.0.0254/unit | Prev: 72,710 | Curr: 72,710 | Consumption: 0 units",
A-204,173130,174090,,"Rate: Rs.0.0254/unit | Prev: 173,130 | Curr: 174,090 | Consumption: 960 units",
A-205,143070,149340,,"Rate: Rs.0.0254/unit | Prev: 143,070 | Curr: 149,340 | Consumption: 6,270 units",
A-206,328250,342940,,"Rate: Rs.0.0254/unit | Prev: 328,250 | Curr: 342,940 | Consumption: 14,690 units",
A-207,266150,277020,,"Rate: Rs.0.0254/unit | Prev: 266,150 | Curr: 277,020 | Consumption: 10,870 units",
A-301,532520,553660,,"Rate: Rs.0.0254/unit | Prev: 532,520 | Curr: 553,660 | Consumption: 21,140 units",
A-302,332730,333330,,"Rate: Rs.0.0254/unit | Prev: 332,730 | Curr: 333,330 | Consumption: 600 units",
A-303,107530,113620,,"Rate: Rs.0.0254/unit | Prev: 107,530 | Curr: 113,620 | Consumption: 6,090 units",
A-304,28140,28140,,"Rate: Rs.0.0254/unit | Prev: 28,140 | Curr: 28,140 | Consumption: 0 units",
A-305,405260,429540,,"Rate: Rs.0.0254/unit | Prev: 405,260 | Curr: 429,540 | Consumption: 24,280 units",
A-306,254130,265650,,"Rate: Rs.0.0254/unit | Prev: 254,130 | Curr: 265,650 | Consumption: 11,520 units",
A-307,98930,106420,,"Rate: Rs.0.0254/unit | Prev: 98,930 | Curr: 106,420 | Consumption: 7,490 units",
A-G1,256220,270360,,"Rate: Rs.0.0254/unit | Prev: 256,220 | Curr: 270,360 | Consumption: 14,140 units",
A-G2,10910,10910,,"Rate: Rs.0.0254/unit | Prev: 10,910 | Curr: 10,910 | Consumption: 0 units",
A-G3,283150,297240,,"Rate: Rs.0.0254/unit | Prev: 283,150 | Curr: 297,240 | Consumption: 14,090 units",
A-G4,235110,240220,,"Rate: Rs.0.0254/unit | Prev: 235,110 | Curr: 240,220 | Consumption: 5,110 units",
A-G5,287010,301900,,"Rate: Rs.0.0254/unit | Prev: 287,010 | Curr: 301,900 | Consumption: 14,890 units",
A-G6,250190,261200,,"Rate: Rs.0.0254/unit | Prev: 250,190 | Curr: 261,200 | Consumption: 11,010 units",
A-G7,360410,374490,,"Rate: Rs.0.0254/unit | Prev: 360,410 | Curr: 374,490 | Consumption: 14,080 units",
B-101,232500,244140,,"Rate: Rs.0.0254/unit | Prev: 232,500 | Curr: 244,140 | Consumption: 11,640 units",
B-102,180290,191310,,"Rate: Rs.0.0254/unit | Prev: 180,290 | Curr: 191,310 | Consumption: 11,020 units",
B-103/104,94020,102500,,"Rate: Rs.0.0254/unit | Total consumption: 8,480 units | B-103: 68840->76020=7180 | B-104: 25180->26480=1300",
B-105,511160,529890,,"Rate: Rs.0.0254/unit | Prev: 511,160 | Curr: 529,890 | Consumption: 18,730 units",
B-106,132370,141550,,"Rate: Rs.0.0254/unit | Prev: 132,370 | Curr: 141,550 | Consumption: 9,180 units",
B-107,70520,75340,,"Rate: Rs.0.0254/unit | Prev: 70,520 | Curr: 75,340 | Consumption: 4,820 units",
B-108,448680,469330,,"Rate: Rs.0.0254/unit | Prev: 448,680 | Curr: 469,330 | Consumption: 20,650 units",
